ScanNumber	ImageOrSpectrum	FullOrROI	AcquireOrFocus	NumFrames	NumAccum	ExposureTime	ROIX1Start	ROIX1End	ROIY1Start	ROIY1End	HHG(mbar)	Target(mbar)	ValveHHG	ValveTarget	ZPositionHHG	ZPositionTarget	InitialPower	IrisPosition	TDPosition	XPositionTarget	Wedge1Pos	Wedge2Pos	MirrorFarX	MirrorFarY	MirrorNearX	MirrorNearY	CEP	Notes
1504	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.825	0.000	0.000	0.000	0.000	0.000	60.000	102.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1505	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.857	0.000	0.000	0.000	0.000	0.000	60.000	103.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1506	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.875	66.857	0.000	0.000	0.000	0.000	0.000	60.000	103.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1507	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.045	67.091	0.000	0.000	0.000	0.000	0.000	60.000	103.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1508	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.045	67.091	0.000	0.000	0.000	0.000	0.000	60.000	103.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1509	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.133	66.712	0.000	0.000	0.000	0.000	0.000	60.000	103.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1510	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.133	66.712	0.000	0.000	0.000	0.000	0.000	60.000	103.20	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1511	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.827	66.801	0.000	0.000	0.000	0.000	0.000	60.000	103.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1512	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.004	66.817	0.000	0.000	0.000	0.000	0.000	60.000	103.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1513	SPC	ROI	ACQ	1	1	80	1	1340	138	260	104.004	66.817	0.000	0.000	0.000	0.000	0.000	60.000	103.40	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1514	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.891	66.954	0.000	0.000	0.000	0.000	0.000	60.000	103.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1515	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.891	66.954	0.000	0.000	0.000	0.000	0.000	60.000	103.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1516	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.924	66.535	0.000	0.000	0.000	0.000	0.000	60.000	103.60	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1517	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.924	66.535	0.000	0.000	0.000	0.000	0.000	60.000	103.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1518	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.835	66.874	0.000	0.000	0.000	0.000	0.000	60.000	103.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1519	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.835	66.874	0.000	0.000	0.000	0.000	0.000	60.000	103.80	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1520	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.980	66.704	0.000	0.000	0.000	0.000	0.000	60.000	104.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1521	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.980	66.704	0.000	0.000	0.000	0.000	0.000	60.000	104.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
1522	SPC	ROI	ACQ	1	1	80	1	1340	138	260	103.771	67.043	0.000	0.000	0.000	0.000	0.000	60.000	104.00	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	
